Timestamp,blocks-size
2020/9/2 0:00,296815.8526
2020/9/5 0:00,297365.3366
2020/9/8 0:00,297933.9685
2020/9/11 0:00,298529.7373
2020/9/14 0:00,299103.9627
2020/9/17 0:00,299643.206
2020/9/20 0:00,300262.3993
2020/9/23 0:00,300778.7596
2020/9/26 0:00,301300.1041
2020/9/29 0:00,301878.9588
2020/10/2 0:00,302425.6755
2020/10/5 0:00,302962.666
2020/10/8 0:00,303492.34
2020/10/11 0:00,304070.2064
2020/10/14 0:00,304582.0093
2020/10/17 0:00,305150.3649
2020/10/20 0:00,305630.3558
2020/10/23 0:00,306135.0005
2020/10/25 23:00,306682.5968
2020/10/28 23:00,307119.3886
2020/10/31 23:00,307532.1871
2020/11/3 23:00,307958.5841
2020/11/6 23:00,308540.0244
2020/11/9 23:00,309122.4441
2020/11/12 23:00,309746.8908
2020/11/15 23:00,310307.2643
2020/11/18 23:00,310882.8494
2020/11/21 23:00,311494.0739
2020/11/24 23:00,312030.9261
2020/11/27 23:00,312589.6717
2020/11/30 23:00,313156.918
2020/12/3 23:00,313664.3505
2020/12/6 23:00,314253.5162
2020/12/9 23:00,314802.4843
2020/12/12 23:00,315332.8527
2020/12/15 23:00,315856.8502
2020/12/18 23:00,316392.9135
2020/12/21 23:00,316995.3001
2020/12/24 23:00,317556.485
2020/12/27 23:00,318091.265
2020/12/30 23:00,318685.9412
2021/1/2 23:00,319315.5806
2021/1/5 23:00,319957.982
2021/1/8 23:00,320603.3415
2021/1/11 23:00,321174.049
2021/1/14 23:00,321768.181
2021/1/17 23:00,322356.7137
2021/1/20 23:00,322917.9772
2021/1/23 23:00,323449.8349
2021/1/26 23:00,324024.6996
2021/1/29 23:00,324617.2702
2021/2/1 23:00,325182.4802
2021/2/4 23:00,325733.2266
2021/2/7 23:00,326363.786
2021/2/10 23:00,326988.7816
2021/2/13 23:00,327517.9867
2021/2/16 23:00,328122.1768
2021/2/19 23:00,328636.1519
2021/2/22 23:00,329236.0864
2021/2/25 23:00,329786.7085
2021/2/28 23:00,330372.2784
2021/3/3 23:00,330913.4196
2021/3/6 23:00,331473.3137
2021/3/9 23:00,332097.3758
2021/3/12 23:00,332644.4034
2021/3/15 23:00,333249.3066
2021/3/18 23:00,333823.2598
2021/3/21 23:00,334416.4598
2021/3/24 23:00,335066.3925
2021/3/27 23:00,335654.0395
2021/3/31 0:00,336263.2832
2021/4/3 0:00,336859.8583
2021/4/6 0:00,337415.7831
2021/4/9 0:00,338033.7391
2021/4/12 0:00,338623.945
2021/4/15 0:00,339207.5111
2021/4/18 0:00,339744.0255
2021/4/21 0:00,340154.065
2021/4/24 0:00,340638.8193
2021/4/27 0:00,341197.8795
2021/4/30 0:00,341721.228
2021/5/3 0:00,342275.9022
2021/5/6 0:00,343037.1801
2021/5/9 0:00,343703.1352
2021/5/12 0:00,344427.9452
2021/5/15 0:00,345107.4175
2021/5/18 0:00,345630.1882
2021/5/21 0:00,346090.3087
2021/5/24 0:00,346527.7064
2021/5/27 0:00,347028.6747
2021/5/30 0:00,347495.0596
2021/6/2 0:00,348067.5706
2021/6/5 0:00,348665.9248
2021/6/8 0:00,349119.4507
2021/6/11 0:00,349611.9852
2021/6/14 0:00,350110.2211
2021/6/17 0:00,350605.4513
2021/6/20 0:00,351068.5683
2021/6/23 0:00,351465.384
2021/6/26 0:00,351877.558
2021/6/29 0:00,352241.7256
2021/7/2 0:00,352608.2872
2021/7/5 0:00,353047.3405
2021/7/8 0:00,353543.9674
2021/7/11 0:00,353996.5447
2021/7/14 0:00,354418.994
2021/7/17 0:00,354886.561
2021/7/20 0:00,355254.0122
2021/7/23 0:00,355724.6231
2021/7/26 0:00,356140.8364
2021/7/29 0:00,356620.4399
2021/8/1 0:00,357097.5834
2021/8/4 0:00,357527.2729
2021/8/7 0:00,358001.5458
2021/8/10 0:00,358425.8784
2021/8/13 0:00,358923.618
2021/8/16 0:00,359380.9925
2021/8/19 0:00,359904.9792
2021/8/22 0:00,360429.6188
2021/8/25 0:00,360893.5406
2021/8/28 0:00,361370.5155
2021/8/31 0:00,361784.3533
2021/9/3 0:00,362279.9823
2021/9/6 0:00,362792.5909
2021/9/9 0:00,363287.7128
2021/9/12 0:00,363773.3087
2021/9/15 0:00,364222.7738
2021/9/18 0:00,364791.7585
2021/9/21 0:00,365242.6894
2021/9/24 0:00,365757.3919
2021/9/27 0:00,366224.6054
2021/9/30 0:00,366694.9196
2021/10/3 0:00,367232.1142
2021/10/6 0:00,367728.1169
2021/10/9 0:00,368295.5293
2021/10/12 0:00,368804.2307
2021/10/15 0:00,369352.1054
2021/10/18 0:00,369890.9014
2021/10/21 0:00,370416.6604
2021/10/24 0:00,370999.8965
2021/10/27 0:00,371482.4606
2021/10/30 0:00,372029.622
2021/11/1 23:00,372520.521
2021/11/4 23:00,373102.703
2021/11/7 23:00,373624.2356
2021/11/10 23:00,374171.9933
2021/11/13 23:00,374748.7439
2021/11/16 23:00,375239.2172
2021/11/19 23:00,375815.1544
2021/11/22 23:00,376289.8602
2021/11/25 23:00,376810.8653
2021/11/28 23:00,377280.8552
2021/12/1 23:00,377757.062
2021/12/4 23:00,378364.5448
2021/12/7 23:00,378925.3348
2021/12/10 23:00,379487.8379
2021/12/13 23:00,379902.9427
2021/12/16 23:00,380438.7636
2021/12/19 23:00,380923.246
2021/12/22 23:00,381399.3821
2021/12/25 23:00,381935.962
2021/12/28 23:00,382420.7251
2021/12/31 23:00,382992.5835
